Order_No,MDL_No,Docket_No,MDL Type,Date,Judge,Judge_Type,Contested,Applications_Solicited,Resolve_Rule_23,OU_Create,OU_Terminate,OU_Functions,OU_Duties_to_Nonclients,IRPA_Duties_to_Clients,Limit_Nonleader_Practice,Order_Types,Rule_23,MCL,Notes,OU_Plaintiff,OU_Defendant,Appointments_Count
2804-2591,2804,2591,Miscellanous,2019-09-11,DAP,DJ,,,checked,1,,checked,checked,checked,,ClassCounsel,checked,,,checked,,6
2551-134,2551,134,Miscellanous,2015-04-07,SRN,DJ,,,,,,,,,,Management,,,,checked,,1
2551-545,2551,545,Miscellanous,2016-06-28,SRN,DJ,,,,,,,,,,Management,,,,,,2
2575-113,2575,113,Products Liability,2015-06-25,RMD,DJ,,,,2,,checked,,,checked,"ClassCounsel,Communications",checked,,,checked,,4
2575-489,2575,489,Products Liability,2017-03-06,RMD,DJ,,,,,,,,,,Communications,,,,checked,,2
2599-4659,2599,4659,Products Liability,2023-06-20,FAM,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,1
2599-4660,2599,4660,Products Liability,2023-06-26,FAM,DJ,,,,,,,,,,ClassCounsel,checked,,Adds class counsel for case against FCA US,checked,,7
2559-4689,2599,4689,Products Liability,2023-06-26,FAM,DJ,,,,1,,,,,,ClassCounsel,checked,,Certifies class as to GM,checked,,7
2555-53,2555,53,Sales Practices,2015-05-28,JSW,DJ,,,,2,,,,,checked,"LeadCounsel,Management",,,,checked,,11
2555-74,2555,74,Sales Practices,2015-07-16,JSW,DJ,,,,,,checked,,,checked,"LeadCounsel,Management",,,,,,4
2613-169,2613,169,Contract ,2018-02-22,BHH,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,,,8
2613-169,2613,169,Contract ,2018-02-22,BHH,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,,,9
2624-8,2624,8,Miscellanous,2015-06-24,RMW,DJ,,,,,,checked,,,,"LeadCounsel,Communications",,checked,Invites lead counsel applications and specifies contemplated duties of lead counsel ,,,0
2624-44,2624,44,Miscellanous,2015-07-24,RMW,DJ,checked,checked,checked,1,,,,,,LeadCounsel,checked,,Good teaching opinion resolving leadership contest,checked,,7
2475-155,2475,155,Antitrust,2014-05-28,ALC,DJ,,,,2,,,,,,LeadCounsel,,,,checked,,4
2804-4286,2804,4286,Miscellanous,2022-02-25,DAP,DJ,,,,1,,checked,,,,Fees,,,,checked,,4
2627-1382,2627,1382,Sales Practices,2018-04-06,AJT,DJ,,,,1,,checked,,,,LeadCounsel,,,Creates lead counsel for personal injury plaintiffs,checked,,2
2627-1524,2627,1524,Sales Practices,2018-06-15,AJT,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,6
2570-64,2570,64,Products Liability,2014-12-03,TAB,MJ,,,,,,,,,,LeadCounsel,,,,checked,,1
2570-93,2570,93,Products Liability,2014-12-19,TAB,MJ,,,,3,,checked,,,,"LeadCounsel,Coordination,Management",,,,checked,,12
2570-506,2570,506,Products Liability,2015-07-01,TAB,MJ,,,,,,,,,,"LeadCounsel,Management,Coordination",,,,checked,,18
2570-645,2570,645,Products Liability,2015-09-08,TAB,MJ,,,,,,,,,,Management,,,,,,1
2570-1749,2570,1749,Products Liability,2016-06-08,TAB,MJ,,,,1,,,,,,"LeadCounsel,Management,Coordination",,,,,,26
2570-875,2570,875,Products Liability,2015-12-03,TAB,MJ,,,,,,,,,,"LeadCounsel,Coordination,Management",,,,checked,,23
2570-1664,2570,1664,Products Liability,2016-05-24,TAB,MJ,,,,,,,,,,"LeadCounsel,Coordination,Management",,,,checked,,23
2570-8845,2570,8845,Products Liability,2018-08-03,TAB,MJ,,,,,,,,,,"Management,LeadCounsel,Coordination",,,Has a typo in Jonathan Sedgh's name,checked,,27
2570-10512,2570,10512,Products Liability,2019-04-23,TAB,MJ,,,,,,,,,,"Management,LeadCounsel,Coordination",,,,checked,,28
2667-11,2667,11,Miscellanous,2015-12-17,RLM,DJ,,,,1,,checked,,,,LeadCounsel,checked,checked,Interim lead counsel appointed until permanent appointment can be made.,checked,,5
2667-55,2667,55,Miscellanous,2016-02-04,RLM,DJ,checked,checked,,,,checked,,,,"LeadCounsel,ClassCounsel",checked,,"Because the defendant has few assets, the court declines to make a steering committee and just appoints one lead counsel, so the funds available for class members remains as large as possible. If after mediation still no resolution then they will likely appoint a steering committee and co-lead counsel. ",checked,,2
2667-102,2667,102,Miscellanous,2017-01-31,RLM,DJ,,,,,,,,,,"LeadCounsel,ClassCounsel",,,Extends appointment for 60 days because they are in the settlement process.,checked,,2
2667-116,2667,116,Miscellanous,2017-03-29,RLM,DJ,,checked,,,,,,,,"ClassCounsel,LeadCounsel",,,Reappoints lead counsel for another year.,checked,,2
2667-133,2667,133,Miscellanous,2018-03-28,RLM,DJ,,,,,,,,,,"LeadCounsel,ClassCounsel",,,Extend for one month while people apply.,checked,,2
2667-135,2667,135,Miscellanous,2018-04-23,RLM,DJ,,checked,,,,,,,,"ClassCounsel,LeadCounsel",,,One year reappointment.,checked,,2
1566-507,1566,507,Antitrust,2007-05-01,PMP,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,4
1566-1621,1566,1621,Antitrust,2009-05-07,PMP,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints the same firms as class counsel for the classes bringing claims under California law,checked,,4
1566-2795,1566,2795,Antitrust,2017-01-08,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,"Appoints new firms as class counsel for a set of state law class actions brought under Kansas, Missouri, and Wisconsin Law. Some of these firms are appointed as class counsel for more than one of the classes, in which case I've listed them twice. ",checked,,8
1566-2907,1566,2907,Antitrust,2017-06-05,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,More class counsel appointments for a set of state law class actions against additional defendants,checked,,5
1566-2932,1566,2932,Antitrust,2017-07-27,RCJ,DJ,,,,,,,,,,"ClassCounsel,Settlement",checked,,Approves same firms and classes as in 2795 for settlement against additional defendants,checked,,8
1566-3126,1566,3126,Antitrust,2019-04-05,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Additional appointments for further settlements with the Wisconsin class,checked,,2
1566-2902,1566,2902,Antitrust,2017-06-05,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Final approval of firms preliminarily appointed as class counsel previously,,,8
1566-2904,1566,2904,Antitrust,2017-06-05,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Final approval of settlement and appointment of class counsel as previously preliminarily approved,checked,,8
1566-2905,1566,2905,Antitrust,2017-06-05,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Final approval of settlement and appointment of class counsel as previously preliminarily approved,checked,,8
1566-2954,1566,2954,Antitrust,2017-08-22,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Final approval of class settlement and appointment of class counsel as previously preliminarily approved,checked,,5
1566-2956,1566,2956,Antitrust,2017-08-22,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Final approval of previously preliminarily approved class settlement and appointment of class counsel,,,5
1566-3127,1566,3127,Antitrust,2019-04-05,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Preliminary approval of settlement for only the Wisconsin class,checked,,2
1566-3150,1566,3150,Antitrust,2019-08-05,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Preliminary approval of settlement and appointment of class counsel,checked,,2
1566-3152,1566,3152,Antitrust,2019-08-05,RCJz,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Final approval of class settlement and class counsel appointments,checked,,2
1566-3153,1566,3153,Antitrust,2019-08-05,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Final approval of class settlement and class counsel appointments,checked,,2
1566-3156,1566,3156,Antitrust,2019-08-05,RCJ,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Final approval of class settlement and class counsel appointments,checked,,5
1720-8647,1720,8647,Antitrust,2021-09-27,MKB,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,4
2724-36,2724,36,Antitrust,2016-09-08,CMR,DJ,,checked,,1,,checked,,,,Coordination,,,"In prior order, counsel for the plaintiffs ordered to confer and submit a maximum of three candidates for the position of liaison counsel (along with their CV and other relevant info). Liebenberg on behalf of End-Player Plaintiffs, and Nast on behalf of Direct-Purchaser Plaintiffs.",checked,,2
2724-37,2724,37,Antitrust,2016-09-08,CMR,DJ,,,,1,,checked,,,,Coordination,,,,,checked,1
2724-84,2724,84,Antitrust,2016-11-28,CMR,DJ,checked,checked,,1,,checked,,,,"LeadCounsel,Management,Coordination",,,"""The appointments set forth above are of both the attorneys and the law firms. The Court expects that the leadership will provide opportunities for attorneys not named to the PSC, particularly less-senior attorneys, to participate meaningfully and efficiently in the MDL, including through participation in any committees within the PSC and in determining which counsel will argue any motions before the Court.""",checked,,28
2724-160,2724,160,Antitrust,2017-03-20,CMR,DJ,,,,,,,,,,Management,,,Amendingappointments,checked,,7
2724-342,2724,342,Antitrust,2017-05-19,CMR,DJ,checked,checked,,3,,,,,,Management,,,"Makes three PSCs based upon plaintiff groups (direct purchaser, end-payer, and indirect reseller). Expects leadership provide opportunities for non-named attorneys.",checked,,46
2724-343,2724,343,Antitrust,2017-05-19,CMR,DJ,,checked,,,,checked,,,,"Coordination,LeadCounsel",,,,,checked,9
2724-505,2724,505,Antitrust,2017-09-26,CMR,DJ,,,,1,,checked,,,,Coordination,,,State Liaison Counsel appointed.,checked,,1
2724-556,2724,556,Antitrust,2018-01-25,CMR,DJ,,,,,,,,,,Management,,,,checked,,3
2724-933,2724,933,Antitrust,2019-04-08,CMR,DJ,,,,,,,,,,Management,,,,checked,,6
2724-1009,2724,1009,Antitrust,2019-05-29,CMR,DJ,checked,checked,,1,,checked,,,,Coordination,,,Appoint Blechman as Direct Action Plaintiff Liaison Counsel,checked,,1
2724-1385,2724,1385,Antitrust,2020-05-14,CMR,DJ,,,,,,,,,,"Coordination,LeadCounsel",,,,,checked,13
2724-2034,2724,2034,Antitrust,2022-04-04,CMR,DJ,,,,,,,,,,"Coordination,LeadCounsel",,,,,checked,14
1869-269,1869,269,Antitrust,2009-04-08,PJF,DJ,,,,,,,,,,LeadCounsel,,,"References No. 232, which is not in our database, which substituted co-lead counsel. This order reconfirms that substitution ",checked,,2
1869-540,1869,540,Antitrust,2012-06-21,PLF,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,2
1913-130,1913,130,Antitrust,2008-03-28,CRB,DJ,,,,1,,,,,,ClassCounsel,checked,,,checked,,2
1913-951,1913,951,Antitrust,2014-10-14,CRB,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints settlement class counsel for the purposes of settling with 2 defendants,checked,,2
1917-282,1917,282,Antitrust,2008-05-09,SC,DJ,checked,,,2,,,,,,ClassCounsel,checked,,Signature on order is difficult to read. Each individual/firm below is stand alone lead counsel for a putative specific subclass,checked,,4
1917-1179,1917,1179,Antitrust,2012-05-03,SC,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Creates class counsel for settlement purposes,checked,,1
1917-1441,1917,1441,Antitrust,2012-11-13,SC,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for the purposes of settlement,checked,,1
1917-3376,1917,3376,Antitrust,2015-01-13,SC,DJ,,,,1,,,,,,"LeadCounsel,Coordination,Settlement",,,Adopts special master recommendation in #3200 to appoint additional attorneys as co-lead counsel to form a committee to assist settlement negotiations and coordinate with state plaintiffs. ,checked,,2
1917-5518,1917,5518,Antitrust,2019-07-03,JST,DJ,,,,1,,,,,,LeadCounsel,,,"Appoints new lead counsel for a subset of states. Confusingly, grants motion 5451 for appointment without renaming counsel who applied to be co-lead class counsel",,,4
1917-5577,1917,5577,Antitrust,2019-09-06,JST,DJ,,,,1,,checked,,,,Communications,,,"Court references a previous order not in our database where the actual appointment was made, this order affirms that appointment and details obligations of liaison counsel",checked,,1
1917-5578,1917,5578,Antitrust,2019-09-06,JST,DJ,,,,1,,checked,,,,Communications,,,"Court references a previous order not in our database where the actual appointment was made, this order affirms that appointment and details obligations of liaison counsel",checked,,1
1917-6042,1917,6042,Antitrust,2022-08-01,JST,DJ,,,,1,,,,,,ClassCounsel,checked,,Appoints class counsel for the purposes of settlement with a single defendant ,checked,,1
1917-6104,1917,6104,Antitrust,2022-10-31,JST,DJ,,,,1,,,,,,ClassCounsel,checked,,Appoints class counsel for the purposes of settlement with a single defendant ,,,2
2665-26,2665,26,Sales Practices,2016-01-08,ESH,DJ,,,,1,,,,,,LeadCounsel,,,,,,2
2665-266,2665,266,Sales Practices,2019-11-04,ESH,DJ,,,,1,,,,,,ClassCounsel,checked,,Court deferred appointment of class counsel in class certification ruling because one of the attorneys had switched law firms. Appoints class counsel in a minute order several months later. ,checked,,2
2002-3,2002,3,Antitrust,2008-12-12,GEKP,DJ,,,,3,,checked,checked,,,Communications,,checked,There are two Jan Levine appearing in the list of attorneys.,checked,checked,6
2002-4,2002,4,Antitrust,2009-01-16,GEKP,DJ,,,,2,,,,,,"LeadCounsel,Communications",,,,checked,,5
2034-17,2034,17,Antitrust,2009-09-24,ABB,DJ,,,,1,,,,,,Communications,,checked,,checked,,1
2034-23,2034,23,Antitrust,2009-10-21,ABB,DJ,,,,3,,checked,checked,,,"LeadCounsel,Management,Communications",,checked,,checked,,14
2034-96,2034,96,Antitrust,2010-08-10,ABB,DJ,,,,,,,,,,Management,,,,checked,,1
2034-170,2034,170,Antitrust,2012-11-27,ABB,DJ,,,,,,,,,,LeadCounsel,,,,checked,,2
2084-475,2084,475,Antitrust,2011-10-19,TWT,DJ,,,,2,,checked,,,,"LeadCounsel,ClassCounsel,Communications",,,,checked,,7
2221-14,2221,14,Antitrust,2011-03-02,RER,DJ,,,,1,,checked,,,,"LeadCounsel,ClassCounsel",checked,,,checked,,3
2034-268,2034,268,Antitrust,2018-09-05,ABB,DJ,,,,1,,,,,,ClassCounsel,,,,checked,,3
2724-2055,2724,2055,Antitrust,2022-04-14,DMR,DJ,,,,,,,,,,"LeadCounsel,Management,Coordination",,,Gives current composition of PSCs,checked,,46
2090-15,2090,15,Antitrust,2009-12-15,ADM,DJ,,,,2,,checked,checked,,,,,,,checked,,4
2724-2092,2724,2092,Antitrust,2022-05-11,CMR,DJ,,,checked,1,,,,,,ClassCounsel,checked,,Certifies settlement class and appoints class counsel for Indirect Reseller Plaintiffs.,,,2
2724-2093,2724,2092,Antitrust,2022-05-11,CMR,DJ,,,checked,1,,,,,,ClassCounsel,checked,,Direct Purchaser Plaintiffs class cert.,,,12
2090-651,2090,651,Antitrust,2017-09-09,ADM,DJ,,,,1,,,,,,ClassCounsel,checked,,,checked,,3
2724-2171,2724,2724,Antitrust,2022-07-18,CMR,DJ,,,,,,,,,,"LeadCounsel,Management,Coordination",,,,,,47
2724-2205,2724,2205,Antitrust,2022-08-24,CMR,DJ,,,,,,,,,,"LeadCounsel,Coordination",,,,,checked,12
2724-2274,2724,2274,Antitrust,2022-11-10,CMR,DJ,,,,,,,,,,LeadCounsel,,,Appoints co-lead counsel,checked,,1
2704-11,2704,11,Antitrust,2016-06-10,PAE,DJ,,,,2,,checked,,,,LeadCounsel,,,Appoints interim lead counsel for P and D.,checked,checked,2
2311-60,2311,60,Antitrust,2012-03-19,MOB,DJ,,,,,,checked,,,,"ClassCounsel,Communications",,,,checked,,5
2704-99,2704,99,Antitrust,2016-08-03,PAE,DJ,checked,checked,checked,,,checked,,,,,checked,checked,"Appoints liaison counsel for defendants and 2 firms as interim co-lead counsel, specifically pre-approving delegation to three firms: Susman Godfrey, Kellogg Huber, and Hagens Berman (not included below because they were not appointed, they just serve in a support capacity).",checked,checked,6
2311-64,2311,64,Antitrust,2012-03-23,MOB,DJ,,,,2,,checked,,,,"ClassCounsel,Communications",checked,,,checked,,4
2687-139,2687,139,Antitrust,2016-04-08,JLL,DJ,checked,checked,,3,,checked,,,,,,,Creates steering committee and appoints lead and liaison counsel.,checked,,14
2687-162,2687,162,Antitrust,2016-05-10,JLL,DJ,,,,,,,,,,Management,,,,checked,,1
2687-211,2687,211,Antitrust,2016-07-06,JAD,MJ,,checked,,2,,checked,,,,"LeadCounsel,Coordination",,,Appoints interim co-lead counsel and (permanent) liaison counsel for indirect purchaser class.,checked,,3
2687-1173,2687,1173,Antitrust,2018-12-04,JLL,DJ,,,,1,,,,,,ClassCounsel,checked,,Appoints class counsel for Indirect Purchaser Settlement Class,checked,,2
2687-1281,2687,1281,Antitrust,2019-04-22,JLL,DJ,,,checked,1,,,,,,ClassCounsel,checked,,Appoints class counsel for Direct Purchaser Settlement Class.,checked,,1
2687-1388,2687,1388,Antitrust,2016-09-26,MCA,DJ,,,,,,,,,,ClassCounsel,checked,,Appoints class counsel for Direct Purchaser Settlement Class.,checked,,1
2687-1410,2687,1410,Antitrust,2019-11-07,MCA,DJ,,,checked,,,,,,,ClassCounsel,checked,,,checked,,2
2687-1420,2687,1420,Antitrust,2019-11-21,MCA,DJ,,,,,,,,,,ClassCounsel,checked,,,checked,,1
2673-186,2673,186,Antitrust,2017-08-23,PGG,DJ,checked,checked,,2,,checked,,,,"LeadCounsel,Coordination",checked,,Appoints co-lead counsel for Ps and liaison counsel for Ds,checked,checked,6
2673-198,2673,198,Antitrust,2017-09-13,PGG,DJ,,,,1,,,,,,Management,,,Appoints Ps' Steering Committee based on recommendation from interim co-lead counsel (uncontested).,checked,,3
2221-648,2221,648,Antitrust,2015-08-04,NGG,DJ,,,,,,,,,,"LeadCounsel,ClassCounsel",,,"This order removes Friedman, but McCaffery and Hellmich file motions to withdraw, which are granted in a text only order with no docket entry # on September 17 2015. McCaffery had taken over work for Hellmich after Hellmich left Patton Boggs, but never was officially appointed by the court. ",checked,,2
2262-66,2262,66,Antitrust,2011-11-29,NRB,DJ,checked,checked,,2,,checked,,,,ClassCounsel,checked,checked,Appoint class counsel for exchange-based plaintiffs and OTC plaintiffs,checked,,4
2262-197,2262,197,Antitrust,2012-08-10,NRB,DJ,,checked,,1,,checked,,,,LeadCounsel,checked,,designates firms as interim co-lead counsel for the bondholder plaintiff class,checked,,2
2262-692,2262,692,Antitrust,2014-10-14,NRB,DJ,,checked,,4,,,,,,ClassCounsel,checked,checked,,checked,,5
2262-3038,2262,3038,Antitrust,2020-03-02,NRB,DJ,,,checked,1,,,,,,"Settlement,ClassCounsel",checked,,Appoints settlement class counsel,checked,,2
2262-2687,2262,2687,Antitrust,2018-08-20,NRB,DJ,,,checked,,,checked,,,,"ClassCounsel,Settlement",,,Appoints settlement class counsel.,checked,,1
2262-3008,2262,3008,Antitrust,2019-11-21,NRB,DJ,,,checked,,,,,,,,checked,,Lender Settlement Class,checked,,1
2262-3024,2262,3024,Antitrust,2020-01-23,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,checked,,1
2262-3038,2262,3038,Antitrust,2020-05-05,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,appointing Bondholder settlement class counsel,checked,,2
2262-3175,2262,3175,Antitrust,2020-09-17,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,Final Approval of settlement. settlement class counsel for exchange-based Ps,checked,,2
2262-3176,2262,3176,Antitrust,2020-09-17,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,Final approval of settlement. settlement class counsel for exchange-based Ps,checked,,2
2262-3177,2262,3177,Antitrust,2020-09-17,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,checked,,2
2262-3178,2262,3178,Antitrust,2020-09-17,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,checked,,2
2262-3179,2262,3179,Antitrust,2020-09-17,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,checked,,2
2262-3180,2262,3180,Antitrust,2020-09-17,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,checked,,2
2262-3184,2262,3184,Antitrust,2020-10-05,NRB,DJ,,,checked,,,,,,,"ClassCounsel,Settlement",checked,,,checked,,2
2262-3217,2262,3217,Antitrust,2020-10-27,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,checked,,2
2262-3218,2262,3218,Antitrust,2020-10-30,NRB,DJ,,,checked,,,,,,,"ClassCounsel,Settlement",checked,,,checked,,1
2262-3246,2262,3246,Antitrust,2020-12-16,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,checked,,2
2262-3378,2262,3378,Antitrust,2022-03-11,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,checked,,1
2262-3578,2262,3578,Antitrust,2022-11-07,NRB,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,checked,,2
2262-3654,2262,3654,Antitrust,2023-03-28,NRB,DJ,,,checked,,,,,,,"ClassCounsel,Settlement",checked,,,checked,,2
2221-707,2221,707,Antitrust,2015-11-05,NGG,DJ,,,,2,,checked,,,,"Management,LeadCounsel,ClassCounsel",checked,,Removes Reinhardt as lead counsel and replaces him with Hausfeld. PEC then created.,checked,,4
2311-65,2311,65,Antitrust,2012-03-23,MOB,DJ,,checked,,2,,checked,,,,"LeadCounsel,ClassCounsel,Communications",checked,,,checked,,4
2332-109,2332,109,Antitrust,2012-08-10,PGS,DJ,checked,,,5,,checked,,,,"LeadCounsel,Management,ClassCounsel,Communications",checked,,"Direct-purchaser' leadership was not contested, however end-payor leadership. Oddly the court appoints firms for the direct-purchaser leadership but individual attorneys for the end-payor leadership and PEC. Court also invites James Dugan to file a motion to disqualify Richards from leadership and have himself appointed co-lead counsel",checked,,16
2332-647,2332,647,Antitrust,2017-04-03,PGS,DJ,,,,,,,,,,"LeadCounsel,ClassCounsel",,,,checked,,2
2332-1031,2332,1031,Antitrust,2021-01-11,PGS,DJ,checked,,,1,,,,,,Settlement,checked,,,checked,,5
2406-15,2406,15,Antitrust,2013-02-28,RDP,DJ,,checked,,1,,checked,,,,Communications,,,,checked,,1
2406-61,2406,61,Antitrust,2013-04-26,RDP,DJ,checked,checked,,4,,checked,,,,"LeadCounsel,ClassCounsel,Coordination,Management,Discovery",checked,checked,,checked,,16
2406-82,2406,82,Antitrust,2013-06-04,RDP,DJ,,,,8,,,,,,"Discovery,Motions,Expert,Settlement,Coordination",,,Order adopts in full special masters report and recommendation which is #62. Attorneys and their respective appointments are attached to the report as exhibits A and B. ,checked,,94
2670-119,2670,1119,Antitrust,2016-03-24,JLS,DJ,checked,checked,,6,,checked,,,,"LeadCounsel,Coordination,Management",checked,,,checked,,11
2670-1021,2670,1021,Antitrust,2018-05-24,JLS,DJ,,,,,,,,,,Management,,,,checked,,1
2670-1931,2670,1931,Antitrust,2019-07-30,JLS,DJ,,,checked,2,,,,,,ClassCounsel,checked,,,checked,,3
2670-2733,2670,2733,Antitrust,2022-01-26,DMS,DJ,,,checked,1,,,,,,"Settlement,ClassCounsel",checked,,,checked,,1
2670-2734,2670,2734,Antitrust,2022-01-26,DMS,DJ,,,checked,1,,,,,,"ClassCounsel,Settlement",checked,,,checked,,1
2670-2735,2670,2735,Antitrust,2022-01-26,DMS,DJ,,,checked,1,,,,,,"Settlement,ClassCounsel",checked,,,checked,,1
2670-2871,2670,2871,Antitrust,2022-07-15,DMS,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,checked,,1
2670-2897,2670,2897,Antitrust,2022-08-22,DMS,DJ,,,checked,,,,,,,"ClassCounsel,Settlement",checked,,,checked,,1
2670-3011,2670,3011,Antitrust,2023-03-07,DMS,DJ,,,checked,,,,,,,"Settlement,ClassCounsel",checked,,,,,1
2878-31,2878,31,Antitrust,2019-04-22,NMG,DJ,,,,1,,checked,,,,"LeadCounsel,ClassCounsel",checked,,,checked,,2
2878-32,2878,32,Antitrust,2019-04-22,NMG,DJ,,,,1,,checked,,,,LeadCounsel,checked,,,checked,,2
2878-469,2878,569,Antitrust,2021-09-24,NMG,DJ,,,checked,1,,checked,,,,ClassCounsel,checked,,,checked,,3
2878-487,2878,487,Antitrust,2021-10-26,NMG,DJ,,,checked,1,,checked,,,,ClassCounsel,checked,,,checked,,2
2420-194,2420,194,Antitrust,2013-05-13,YGR,DJ,checked,,,4,,checked,,,,"LeadCounsel,ClassCounsel,Communications",checked,,,checked,,8
2420-229,2420,229,Antitrust,2013-07-10,YGR,DJ,,,,2,,,,,,Management,,,,checked,,14
2420-1182,2420,1182,Antitrust,2016-03-25,YGR,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement purposes,checked,,3
2420-1756,2420,1756,Antitrust,2017-04-26,YGR,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement purposes,checked,,3
2420-1757,2420,1757,Antitrust,2017-04-26,YGR,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement purposes,checked,,3
2420-1758,2420,1758,Antitrust,2017-04-26,YGR,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,,checked,,3
2420-1759,2420,1759,Antitrust,2017-04-26,YGR,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement,checked,,3
2420-2104,2420,2104,Antitrust,2017-12-22,YGR,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement purposes,checked,,3
2420-2105,2420,2105,Antitrust,2017-12-22,YGR,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,appoints class counsel for settlement purposes,checked,,3
2420-2106,2420,2106,Antitrust,2017-12-22,YGR,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,3
2420-2516,2420,2516,Antitrust,2019-08-16,YGR,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement,checked,,3
2420-2681,2420,2681,Antitrust,2010-12-20,YGR,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,,checked,,3
2867-170,2867,170,Antitrust,2019-01-23,VMK,DJ,checked,checked,,3,,checked,,,,"LeadCounsel,Coordination,Management",checked,checked,,checked,,4
2867-437,2867,437,Antitrust,2021-01-19,VMK,DJ,,,,,,,,,,"LeadCounsel,Management,Coordination",,,,checked,,5
2867-991,2867,991,Antitrust,2023-06-14,VMK,DJ,,,checked,,,,,,,ClassCounsel,checked,,,checked,,1
2862-107,2862,107,Antitrust,2018-11-28,DWA,DJ,checked,checked,,2,,checked,,,,"LeadCounsel,Coordination",checked,checked,,checked,,3
2862-273,2862,273,Antitrust,2020-02-04,DWA,DJ,,,,,,checked,,,,"LeadCounsel,Coordination",checked,checked,,checked,,3
2862-444,2862,444,Antitrust,2021-02-02,DWA,DJ,,,,,,checked,,,,"LeadCounsel,Coordination",checked,checked,,checked,,3
2862-624,2862,624,Antitrust,2022-01-28,DWA,DJ,,,,,,checked,,,,"LeadCounsel,Coordination",checked,checked,,checked,,3
2862-845,2862,845,Antitrust,2023-02-08,WSH,DJ,,,,,,checked,,,,"LeadCounsel,Coordination",checked,checked,,checked,,3
2326-6025,2326,6025,Products Liability,2018-05-25,TEJ,DJ,,,,,,,,,,Communications,,,"The order doesn't explicitly remove Thomas a member of leadership committee, but it grants his motion to withdraw/be substituted in all member cases. Since he was appointed in his individual capacity, treating as a termination/substitution (see order 103).",checked,,2
2437-2,2437,2,Antitrust,2013-04-11,MMB,DJ,,,,4,,checked,,,,"Communications,LeadCounsel",,checked,"For duties/functions, order just says that ""the duties of interim lead counsel and interim liasion counsel will be as described in Manual for Complex Litigation, 4th Edition""",checked,checked,5
